Source,Target,Type,Id,Label,Weight
jadefaulkner,emsmithgymnast,Directed,0,,1
jadefaulkner,lynnehutch94,Directed,1,,1
jadefaulkner,anniebarts,Directed,2,,1
jadefaulkner,gymnast_rachel,Directed,3,,1
jadefaulkner,jempin515,Directed,4,,1
emsmithgymnast,jadefaulkner,Directed,5,,1
emsmithgymnast,anniebarts,Directed,6,,1
emsmithgymnast,danusiafrancis,Directed,7,,1
emsmithgymnast,jempin515,Directed,8,,1
emsmithgymnast,hannahkwhelan,Directed,9,,1
charliepurdue,jopavey,Directed,10,,1
charliepurdue,jodiealicia27,Directed,11,,1
charliepurdue,jemmasimpson,Directed,12,,1
charliepurdue,hannengland,Directed,13,,1
charliepurdue,katedennison,Directed,14,,1
jopavey,charliepurdue,Directed,15,,1
jopavey,clitherbot,Directed,16,,1
jopavey,hallisseyc,Directed,17,,1
jopavey,paulajradcliffe,Directed,18,,1
jopavey,jemmasimpson,Directed,19,,1
clitherbot,jopavey,Directed,20,,1
clitherbot,jemmasimpson,Directed,21,,1
clitherbot,hannengland,Directed,22,,1
clitherbot,katedennison,Directed,23,,1
clitherbot,uka_athletics,Directed,24,,1
runbadders,jopavey,Directed,25,,1
runbadders,clitherbot,Directed,26,,1
runbadders,hallisseyc,Directed,27,,1
runbadders,jemmasimpson,Directed,28,,1
runbadders,leemerrien,Directed,29,,1
hallisseyc,jopavey,Directed,30,,1
hallisseyc,runbadders,Directed,31,,1
hallisseyc,jojackson2012,Directed,32,,1
hallisseyc,leemerrien,Directed,33,,1
hallisseyc,hollybleasdale,Directed,34,,1
paulajradcliffe,jopavey,Directed,35,,1
paulajradcliffe,daigreene,Directed,36,,1
paulajradcliffe,hannengland,Directed,37,,1
paulajradcliffe,leemerrien,Directed,38,,1
paulajradcliffe,hollybleasdale,Directed,39,,1
andy_murray,serenawilliams,Directed,40,,1
andy_murray,venuseswilliams,Directed,41,,1
andy_murray,elenabaltacha,Directed,42,,1
andy_murray,usainbolt,Directed,43,,1
andy_murray,britishtennis,Directed,44,,1
serenawilliams,venuseswilliams,Directed,45,,1
serenawilliams,elenabaltacha,Directed,46,,1
serenawilliams,clijsterskim,Directed,47,,1
serenawilliams,tsonga7,Directed,48,,1
serenawilliams,kerrileewalsh,Directed,49,,1
venuseswilliams,andy_murray,Directed,50,,1
venuseswilliams,serenawilliams,Directed,51,,1
venuseswilliams,elenabaltacha,Directed,52,,1
venuseswilliams,clijsterskim,Directed,53,,1
venuseswilliams,allysonfelix,Directed,54,,1
elenabaltacha,serenawilliams,Directed,55,,1
elenabaltacha,clijsterskim,Directed,56,,1
elenabaltacha,euan_burton,Directed,57,,1
elenabaltacha,britishtennis,Directed,58,,1
elenabaltacha,itfprocircuit,Directed,59,,1
clijsterskim,andy_murray,Directed,60,,1
clijsterskim,serenawilliams,Directed,61,,1
clijsterskim,elenabaltacha,Directed,62,,1
clijsterskim,britishtennis,Directed,63,,1
clijsterskim,itfprocircuit,Directed,64,,1
stanwawrinka,serenawilliams,Directed,65,,1
stanwawrinka,clijsterskim,Directed,66,,1
stanwawrinka,gael_monfils,Directed,67,,1
stanwawrinka,tsonga7,Directed,68,,1
stanwawrinka,britishtennis,Directed,69,,1
gael_monfils,andy_murray,Directed,70,,1
gael_monfils,serenawilliams,Directed,71,,1
gael_monfils,venuseswilliams,Directed,72,,1
gael_monfils,stanwawrinka,Directed,73,,1
