Id,name,community,gender,in-Degree,Excentricity,Closness Centrality,Harmonic Closness Centrality,Betweenness Centrality,Eigenvector Centrality,Clustering Coefficient
martynrooney,Martyn Rooney,athletics,Male,25,5.0,0.3235294117647059,0.4242424242424242,1499.0544317670629,1.0,0.13833333551883698
mrgrantturner,Grant Turner,swimming,Male,20,6.0,0.36507936507936506,0.4956521739130435,147.84873737373732,0.7136792863012419,0.1921052634716034
airlewis,Air Lewis,athletics,Male,18,6.0,0.28695652173913044,0.39949494949494935,136.5842546342547,0.8859817680295582,0.18300653994083405
andyturner110h,Andy Turner,athletics,Male,18,6.0,0.3055555555555556,0.41262626262626256,430.9518325216607,0.7913593472020211,0.15359477698802948
katedennison,Kate Dennison,athletics,Female,17,6.0,0.28695652173913044,0.39949494949494935,203.05941280941286,0.6302636505088675,0.11764705926179886
jfair25,James Fair,hockey,Male,15,3.0,0.6,0.6944444444444443,17.178571428571423,0.4306384693982276,0.23749999701976776
jboyton,Jonathan Boyton,canoeing,Male,15,3.0,0.6,0.6944444444444443,55.5968253968254,0.402651945054187,0.25238096714019775
gregjrutherford,Greg Rutherford,athletics,Male,15,6.0,0.3055555555555556,0.4126262626262625,1086.7099914044768,0.6711143013051657,0.15000000596046448
warrenbaister,Warren Baister,boxing,Male,15,4.0,0.4583333333333333,0.6363636363636362,18.249999999999996,0.492388746666531,0.2809523940086365
liamphillips65,Liam Phillips,cycling,Male,14,3.0,0.47619047619047616,0.5666666666666669,92.07222222222224,0.3223116682366503,0.17582418024539948
swimmerross,Ross Davenport,swimming,Male,14,5.0,0.3770491803278688,0.4992753623188406,77.34913419913418,0.3758511037570586,0.20476190745830536
iainlewers,Iain Lewers,hockey,Male,14,3.0,0.5714285714285714,0.6805555555555555,42.554761904761904,0.436696696144831,0.23076923191547394
joannarowsell,Joanna Rowsell,cycling,Female,13,4.0,0.5,0.5875000000000001,66.96468253968254,0.3592057300564898,0.1538461595773697
swiftybswift,Ben Swift,cycling,Male,13,4.0,0.4444444444444444,0.55,78.5595238095238,0.3746398850610478,0.21153846383094788
fencingmary,Mary Unidentified,fencing,Female,13,3.0,0.5357142857142857,0.6333333333333334,56.01251803751804,0.3441855832755532,0.17307692766189575
jthorntongbr,James Thornton,fencing,Male,13,3.0,0.5172413793103449,0.6222222222222222,94.45768398268396,0.38982459517445084,0.26923078298568726
rob13moore,Rob Moore,hockey,Male,13,2.0,0.631578947368421,0.7083333333333334,30.70238095238096,0.4509251612256601,0.2756410241127014
sallywalton23,Sally Walton,hockey,Female,13,4.0,0.5217391304347826,0.6597222222222222,34.251298701298694,0.3826647813724552,0.3076923191547394
ed_rutherford,Ed Rutherford,canoeing,Male,13,3.0,0.5454545454545454,0.6666666666666666,22.756349206349206,0.37697910544300944,0.28205129504203796
daniel_fogg,Daniel Fogg,swimming,Male,13,6.0,0.3770491803278688,0.5065217391304347,336.1463924963926,0.4648350587985307,0.21794871985912323
hollybleasdale,Holly Bleasdale,athletics,Female,13,6.0,0.3235294117647059,0.4318181818181818,882.3098588876168,0.4073438063249721,0.14761905372142792
cedwardsboxing,Charlie Edwards,boxing,Male,13,3.0,0.5789473684210527,0.6969696969696969,25.599999999999998,0.3545855074713156,0.27142858505249023
nrod2012,Unidentified,rowing,Undefined,13,2.0,0.6470588235294118,0.7272727272727273,15.943650793650791,0.374145129404508,0.29120880365371704
thomasstalker1,Thomas Stalker,boxing,Male,13,2.0,0.6470588235294118,0.7272727272727273,70.01666666666667,0.30487882386225806,0.22857142984867096
christophermcd_,Christopher McDonald,handball,Male,12,2.0,0.7777777777777778,0.8571428571428571,29.685714285714276,0.37457861596174113,0.3333333432674408
chloewilcox86,Chloe Wilcox,waterpolo,Female,12,7.0,0.28125,0.4723544973544974,23.74761904761905,0.3384392452356767,0.3030303120613098
watkinsteamgb,Anna Watkins,rowing,Female,12,2.0,0.6470588235294118,0.7272727272727273,31.302380952380954,0.2458284890287532,0.20512820780277252
daigreene,Dai Greene,athletics,Male,12,6.0,0.28205128205128205,0.3919191919191918,125.06071151071153,0.6086180224489789,0.19871795177459717
ashleigh_ball22,Ashleigh Ball,hockey,Female,12,4.0,0.48,0.6388888888888888,10.723160173160174,0.368750661259787,0.3181818127632141
andrewthodge,Andrew Thodge,rowing,Male,12,3.0,0.6111111111111112,0.712121212121212,19.996031746031743,0.3427204734455641,0.21969696879386902
sarahbarrow,Sarah Barrow,diving,Female,12,4.0,0.45,0.5648148148148148,401.6093892593892,0.28522008901970264,0.25
powellstacie,Stacie Powell,diving,Female,12,5.0,0.3673469387755102,0.5175925925925926,164.19592449592454,0.2873770179598835,0.2651515007019043
popsmbonsu,Pops Mensah-Bonsu,basketball,Male,12,3.0,0.5789473684210527,0.6969696969696969,19.761111111111113,0.2701812786069629,0.2954545319080353
vicbowen,Bo Bo Bowen,waterpolo,Female,12,6.0,0.3333333333333333,0.5037037037037037,48.11190476190475,0.3231981981736551,0.3181818127632141
